"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","6111","Admin Login","chromium","Fri Jun 06 14:15:59 UTC 2025","passed","Fri Jun 06 14:16:05 UTC 2025","","admin-login.spec.ts","",""
"","20944","New Creator Registration","chromium","Fri Jun 06 14:15:59 UTC 2025","passed","Fri Jun 06 14:16:20 UTC 2025","","creator-registration.spec.ts","",""
"","13240","User Login via Email","chromium","Fri Jun 06 14:16:05 UTC 2025","passed","Fri Jun 06 14:16:19 UTC 2025","","user-login-email.spec.ts","",""
"","8824","New User Registration via Email","chromium","Fri Jun 06 14:16:19 UTC 2025","passed","Fri Jun 06 14:16:27 UTC 2025","","user-registration-email.spec.ts","",""
